번호,연도,월,시도,구,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0000368,2021년,09월,서울,동작구,창원이엔지주유소,서울 동작구 사당로 59 (상도동),현대오일뱅크,셀프,,1658.33,1458.33,
A0001139,2021년,09월,서울,금천구,SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,SK에너지,일반,,1697.0,1487.0,
A0009906,2021년,09월,서울,서초구,극동유화(주) 전당앞주유소,서울 서초구 남부순환로 2391 (서초동),S-OIL,셀프,1824.67,1655.47,1455.47,
A0009333,2021년,10월,서울,광진구,용마주유소,서울 광진구 용마산로 68 (중곡동),GS칼텍스,일반,,1732.16,1527.35,
A0009413,2021년,10월,서울,광진구,유니스에너지 자양주유소,서울 광진구 아차산로 298 (자양동),SK에너지,일반,1992.19,1807.03,1607.03,
A0010167,2021년,10월,서울,송파구,삼화주유소,서울 송파구 백제고분로 125,GS칼텍스,셀프,1870.9,1698.06,1497.87,
A0000745,2021년,10월,서울,은평구,박석고개주유소,서울 은평구 통일로 945 (갈현동),SK에너지,셀프,,1728.0,1524.13,
A0009906,2021년,10월,서울,서초구,극동유화(주) 전당앞주유소,서울 서초구 남부순환로 2391 (서초동),S-OIL,셀프,1888.42,1728.45,1528.45,
A0009351,2021년,10월,서울,광진구,현대오일뱅크(주)직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),현대오일뱅크,셀프,1928.03,1733.03,1518.03,
A0000737,2021년,10월,서울,서대문구,남정주유소,서울 서대문구 모래내로 243 (남가좌동),GS칼텍스,일반,,1732.77,1532.77,1209.68
A0009254,2021년,10월,서울,동대문구,(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),SK에너지,셀프,,1741.23,1534.45,1171.61
A0010188,2021년,10월,서울,강동구,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),S-OIL,셀프,,1792.84,1592.84,
A0010036,2021년,10월,서울,송파구,현대오일뱅크㈜직영 서원주유소,서울 송파구 중대로 154 (가락동),현대오일뱅크,일반,1957.68,1812.84,1612.84,1095.0
A0000725,2021년,10월,서울,은평구,불광주유소,서울 은평구 연서로 314 (불광동),현대오일뱅크,셀프,1905.06,1705.06,1502.81,
